School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,eFGPct,TOVPct,ORBPct,FT/FGA,Season,TeamID
new mexico state,33,28,5,0.848,9.6,-1.26,2504,2104,70.1,107.9,0.287,0.366,0.54,56,49.7,8,8.7,0.521,15.3,34.5,0.185,2018,1308
new mexico,34,19,15,0.559,6.12,3.6,2795,2641,73.6,111.3,0.343,0.474,0.582,46.9,57.4,10,7.3,0.544,14.9,26.3,0.266,2018,1307
new orleans,31,15,16,0.484,-9.05,-5.55,2151,2177,68.8,100.5,0.428,0.247,0.533,51.3,59.4,10.6,9.8,0.496,19.1,33.4,0.291,2018,1309
niagara,32,19,13,0.594,-4.21,-4.11,2683,2686,74.8,111.2,0.387,0.36,0.553,50.2,42,6.7,10,0.513,12.9,30.8,0.282,2018,1310
nicholls state,32,21,11,0.656,-3.48,-5.8,2641,2411,76.9,107.3,0.349,0.366,0.568,50.7,50.4,12.5,10.1,0.537,17.4,30.5,0.25,2018,1311
njit,30,14,16,0.467,-7.13,-5.42,2248,2197,71,104.7,0.321,0.362,0.541,50.6,51.6,11.5,8.4,0.514,16.1,30.6,0.22,2018,1312
norfolk state,33,14,19,0.424,-12.7,-9.9,2399,2417,72.3,100.2,0.321,0.355,0.523,51.9,52.4,8.6,11,0.494,18.1,33,0.215,2018,1313
north carolina-asheville,34,21,13,0.618,-3.7,-3.42,2525,2465,69.8,104.5,0.317,0.362,0.566,50.7,57.2,10.4,9.5,0.541,17.3,25.7,0.235,2018,1421
north carolina a&t,35,20,15,0.571,-12.36,-11,2623,2605,71.2,104.2,0.386,0.352,0.551,50.7,57.5,8.4,5.8,0.515,16.8,28.5,0.275,2018,1299
north carolina central,34,19,15,0.559,-12.62,-12.3,2474,2361,68.8,105.3,0.297,0.314,0.545,53.4,57.7,7.4,9.5,0.519,17.4,33.5,0.204,2018,1300
north carolina-greensboro,34,27,7,0.794,4.53,-4.28,2498,2121,66.8,107.7,0.269,0.456,0.552,55,53.6,11.3,12.7,0.528,17.1,34.3,0.188,2018,1422
north carolina state,32,21,11,0.656,13.42,6.67,2599,2383,72,112.3,0.339,0.34,0.562,50.4,55.2,10.4,9.5,0.533,14.4,33.6,0.237,2018,1301
north carolina-wilmington,32,11,21,0.344,-7.47,-1.11,2542,2668,73.4,106.1,0.315,0.334,0.524,53.2,52.9,6.8,5.6,0.494,14.6,33.7,0.217,2018,1423
north carolina,35,25,10,0.714,21.23,12.37,2869,2559,71.4,114.4,0.286,0.349,0.554,56.6,60.8,7.9,11.4,0.523,14,38.4,0.212,2018,1314
north dakota state,32,15,17,0.469,-1.57,-1.29,2382,2264,68.8,107.8,0.305,0.436,0.583,50.9,50.4,6.6,6.2,0.552,16.5,22.7,0.232,2018,1295
north dakota,32,12,20,0.375,-7.39,0.05,2427,2612,73.2,101.6,0.353,0.365,0.553,45,47.4,10.6,4.6,0.521,16,20.2,0.249,2018,1315
north florida,33,14,19,0.424,-11.19,-1.53,2668,2873,75.6,106.6,0.277,0.459,0.573,46.4,52.2,6.9,7.5,0.543,17,26.1,0.21,2018,1316
north texas,32,15,17,0.469,-1.52,-0.76,2333,2287,69.3,103.6,0.331,0.379,0.536,52.4,46.9,6.9,7.5,0.513,16.6,30.9,0.214,2018,1317
northeastern,33,23,10,0.697,3.7,-1.56,2472,2270,68,108.9,0.347,0.453,0.597,51.2,60.9,9.7,6.2,0.569,17.9,25.5,0.255,2018,1318
northern arizona,32,5,27,0.156,-14.36,-0.73,2100,2512,70.8,91.9,0.429,0.334,0.499,48.1,45,7.9,9.5,0.45,19.1,26.7,0.301,2018,1319
northern colorado,34,22,12,0.647,3.11,-2.12,2738,2478,73.3,108.7,0.328,0.392,0.563,51.5,41.4,6.8,7.9,0.537,14.6,26.9,0.228,2018,1294
northern illinois,32,13,19,0.406,-6.64,-1.64,2319,2407,69.3,104.2,0.334,0.275,0.538,49.7,34.7,9.6,5.3,0.502,14.9,28.2,0.243,2018,1296
northern iowa,32,16,16,0.5,4.03,3.89,2056,1990,64.3,99.5,0.313,0.399,0.522,51.2,47.9,8,7.4,0.487,15.6,24.3,0.226,2018,1320
northern kentucky,32,22,10,0.688,4.77,-4.13,2486,2112,70.6,110,0.313,0.4,0.573,52.6,58,10.3,8.7,0.544,15.5,29.1,0.229,2018,1297
northwestern state,29,4,25,0.138,-20.85,-4.01,1868,2264,72.2,89.2,0.35,0.267,0.477,48.9,40.3,8.6,11.1,0.45,20.2,32.1,0.214,2018,1322
northwestern,32,15,17,0.469,9.8,8.54,2203,2127,65.3,104.7,0.297,0.397,0.532,50.4,57.8,7.4,13.2,0.497,15.3,29.5,0.222,2018,1321
notre dame,35,21,14,0.6,14.23,8.05,2635,2398,66.6,111.8,0.315,0.394,0.553,51.6,55,8.6,9.3,0.517,12.6,30.5,0.239,2018,1323
oakland,33,19,14,0.576,-1.84,-3.78,2580,2516,72.2,107.5,0.355,0.398,0.562,50.3,62.6,8.3,11.5,0.52,15.9,28,0.273,2018,1324
ohio state,32,24,8,0.75,18.09,8.96,2426,2134,67.5,111,0.315,0.332,0.573,54,52.8,8.8,11.5,0.544,15.1,30.1,0.229,2018,1326
ohio,31,14,17,0.452,-2.42,-1.56,2334,2353,72.6,100.5,0.305,0.349,0.538,48.4,52.8,8.9,8.7,0.508,16,22.3,0.218,2018,1325
oklahoma state,34,20,14,0.588,13.08,9.49,2602,2480,70.8,107.3,0.323,0.387,0.542,51.5,52.8,9.3,10.6,0.502,15.9,34.1,0.246,2018,1329
oklahoma,31,18,13,0.581,14.41,10.9,2640,2531,76.7,110.1,0.331,0.409,0.572,49.5,50.5,8.5,11.1,0.538,15.2,28,0.248,2018,1328
old dominion,32,25,7,0.781,9.12,-1.41,2347,2010,66.6,109.3,0.33,0.338,0.537,52.8,57.2,11.1,13.6,0.507,13.2,32.2,0.228,2018,1330
oral roberts,32,11,21,0.344,-6.33,1.38,2332,2484,68.1,104.6,0.257,0.319,0.517,52.2,51.5,7.8,9.3,0.492,15.4,35.9,0.176,2018,1331
oregon state,32,16,16,0.5,7.69,4.94,2339,2251,67.4,106.8,0.387,0.328,0.555,52.1,57.2,9.7,10.3,0.521,16.8,31.8,0.274,2018,1333
oregon,35,23,12,0.657,11.22,4.94,2725,2505,69.4,110.6,0.307,0.426,0.566,52.3,56.3,9.7,12.6,0.532,14.9,31,0.234,2018,1332
pacific,32,14,18,0.438,0.05,2.41,2280,2316,67,105.6,0.401,0.258,0.537,50.9,49.1,9.1,12.3,0.494,14.8,30.4,0.292,2018,1334
penn state,34,21,13,0.618,15.25,7.54,2537,2275,68.4,108.3,0.311,0.327,0.55,51.9,50.2,10.8,13.9,0.523,15.2,31.4,0.217,2018,1336
pennsylvania,32,24,8,0.75,2.21,-3.89,2446,2198,70.2,105.9,0.337,0.424,0.557,51.2,56.5,8.2,7,0.534,14.7,24,0.224,2018,1335
pepperdine,32,6,26,0.188,-5.91,2.42,2283,2516,67.8,104.4,0.353,0.296,0.534,50.8,54.6,7.1,6.5,0.5,15,29.4,0.248,2018,1337
pittsburgh,32,8,24,0.25,-1.64,8.71,1985,2316,65.7,93.7,0.319,0.475,0.515,45.5,58.7,6.5,9.4,0.482,18.7,23.3,0.222,2018,1338
portland state,33,20,13,0.606,0.12,-0.91,2833,2631,76.8,110.5,0.323,0.38,0.54,50.8,53.2,12.8,9.1,0.51,13.7,34.9,0.227,2018,1340
portland,32,10,22,0.313,-5.96,3.07,2221,2372,68.5,100.5,0.342,0.381,0.548,46.1,49.6,7.5,11.2,0.521,15.9,19.7,0.232,2018,1339
prairie view,34,16,18,0.471,-9.99,-7.57,2559,2609,72.6,102.9,0.388,0.368,0.529,48.6,49.3,10.3,8.7,0.496,16,31.3,0.26,2018,1341
presbyterian,32,11,21,0.344,-14.18,-5.38,2124,2273,64.7,102.2,0.29,0.439,0.53,47.7,49.1,8.4,5.6,0.504,15.5,26.5,0.199,2018,1342
princeton,29,13,16,0.448,-2.31,-1.85,2106,2083,66.3,105.8,0.267,0.462,0.563,49,48.7,6.9,8.7,0.54,15.2,22.5,0.189,2018,1343
providence,34,21,13,0.618,11.17,10.14,2506,2471,69.6,104,0.392,0.33,0.535,50,53.7,9.7,10.1,0.496,15.3,29,0.276,2018,1344
purdue,34,28,6,0.824,24.14,8.64,2759,2232,68.2,118.6,0.361,0.402,0.611,51.8,59.3,8.5,12.8,0.581,13.8,27.6,0.268,2018,1345
quinnipiac,33,12,21,0.364,-9.31,-4.24,2364,2531,67.9,102.8,0.37,0.479,0.539,49.2,51.3,7.9,6.9,0.503,16.9,27.8,0.261,2018,1346
radford,35,23,12,0.657,-2.52,-4.82,2361,2249,63.3,104.7,0.308,0.396,0.531,52.4,52,9.8,9.1,0.497,16.1,33.6,0.223,2018,1347
rhode island,32,25,7,0.781,12.21,3.93,2438,2173,69.2,109.7,0.305,0.318,0.544,50.5,54.4,10.8,9.5,0.515,13.3,31,0.216,2018,1348
rice,31,7,24,0.226,-8.8,-0.22,2114,2347,70.2,96.4,0.369,0.467,0.514,49.7,53.2,7.6,6,0.48,18.3,28.1,0.247,2018,1349
richmond,32,12,20,0.375,0.01,3.79,2297,2418,68.3,103.8,0.297,0.363,0.55,46.8,57.7,11,6.6,0.521,15.1,23.2,0.212,2018,1350
rider,32,22,10,0.688,1.19,-2.41,2620,2505,74.8,109.1,0.421,0.338,0.545,51.7,49.2,10,10.1,0.526,15,33.4,0.256,2018,1351
robert morris,33,16,17,0.485,-7.66,-5.78,2272,2334,70.8,96.9,0.343,0.377,0.506,49.1,48.1,10.9,7.4,0.474,17.9,31.3,0.229,2018,1352
rutgers,34,15,19,0.441,5.74,7.07,2216,2204,66.9,96.4,0.311,0.245,0.473,51.9,40.1,10.4,11.6,0.442,14.5,33.7,0.2,2018,1353
sacramento state,32,7,25,0.219,-8.61,-0.44,2157,2358,67.5,99.4,0.288,0.316,0.526,47.1,52.5,7.9,9.6,0.5,15.8,24.1,0.197,2018,1170
sacred heart,31,10,21,0.323,-11.15,-6.75,2129,2237,69.5,98.4,0.296,0.329,0.512,55.2,50.3,6.9,6.6,0.486,18.1,33.1,0.196,2018,1357
saint francis (pa),30,18,12,0.6,-5.08,-6.51,2389,2271,70.8,110.7,0.343,0.367,0.576,48.5,48.1,9.4,5.9,0.539,14.3,26.2,0.261,2018,1384
saint joseph's,32,16,16,0.5,3.88,2.01,2371,2311,71.2,103.3,0.346,0.387,0.522,49.3,54.1,8.8,8.6,0.488,12.3,23.5,0.238,2018,1386
saint louis,33,17,16,0.515,2.78,3.12,2170,2157,64.7,101.2,0.463,0.33,0.513,53,53.8,9.2,13.1,0.475,16.6,33.8,0.302,2018,1387
saint mary's (ca),34,29,5,0.853,13.79,0.38,2629,2173,63.9,120.2,0.306,0.353,0.618,54.8,55.1,6.9,6.8,0.589,13.4,28.2,0.237,2018,1388
saint peter's,32,14,18,0.438,-5.02,-4.15,2085,2113,65,98,0.277,0.426,0.523,49,51.1,9.9,10.8,0.492,17.3,27.1,0.2,2018,1389
sam houston state,33,19,14,0.576,-5.33,-5.12,2346,2247,68.7,103.1,0.336,0.364,0.524,52.4,58.1,8.9,5.5,0.488,16.3,33,0.239,2018,1358
samford,32,10,22,0.313,-10.88,-3.14,2483,2639,71.9,108,0.322,0.419,0.584,45.8,60.9,10,6.9,0.55,17,25,0.246,2018,1359
san diego state,32,22,10,0.688,12.5,3.86,2480,2173,70.3,110.2,0.349,0.362,0.556,53.8,54.1,9,9.3,0.522,14.6,32.3,0.251,2018,1361
san diego,32,19,13,0.594,3.68,0.91,2243,2114,67,103.8,0.397,0.451,0.566,49.8,60,7.9,10.4,0.531,17.1,23.5,0.283,2018,1360
san francisco,33,18,15,0.545,2.11,2.61,2266,2259,66.9,101.9,0.292,0.426,0.523,50.6,53.9,8.4,8.8,0.496,15.5,28.4,0.2,2018,1362
san jose state,30,4,26,0.133,-8.4,3.26,1974,2260,69.3,94.1,0.345,0.3,0.524,52.7,54.6,6.4,7.5,0.491,20.6,28.3,0.239,2018,1363
santa clara,31,11,20,0.355,-6.43,1.19,2048,2224,65.4,100.6,0.313,0.407,0.533,46.2,56.3,8.3,6.4,0.498,15.4,23.6,0.227,2018,1365
savannah state,32,15,17,0.469,-14.99,-4.69,2754,2991,83.6,101.7,0.295,0.555,0.514,44.5,53.6,11.1,6.4,0.483,14.3,27.8,0.206,2018,1366
seattle,33,20,13,0.606,-1.72,-2.59,2499,2376,70.2,107.1,0.356,0.427,0.562,52.5,52.7,6.9,9.6,0.524,17.4,30.6,0.264,2018,1370
seton hall,32,21,11,0.656,15.45,9.76,2528,2346,71.1,110.2,0.346,0.328,0.557,53,55.4,8.8,9.2,0.528,15.3,33.7,0.239,2018,1371
siena,32,8,24,0.25,-10.27,-2.8,2166,2405,67.2,97.3,0.364,0.335,0.516,51.1,47.2,6.9,8.8,0.482,18.7,31.3,0.247,2018,1373
south alabama,32,14,18,0.438,-5.21,-2.65,2228,2218,71.1,97.6,0.378,0.437,0.53,49.3,52.7,7.5,10.7,0.492,18.6,26.2,0.265,2018,1375
south carolina state,32,10,22,0.313,-19.93,-8.53,2355,2660,73.4,99.5,0.363,0.316,0.516,47.9,42.6,7.2,6.4,0.478,16.4,30,0.253,2018,1354
south carolina upstate,32,7,25,0.219,-17.26,-4.15,2424,2723,71.1,105.7,0.225,0.466,0.535,46.3,51,8.5,7,0.511,14,27.1,0.163,2018,1367
south carolina,33,17,16,0.515,9.82,9.6,2313,2277,69.7,99.9,0.422,0.373,0.507,52.4,56,7.8,9.6,0.461,16.6,33.8,0.295,2018,1376
south dakota state,34,28,6,0.824,7.11,-0.63,2885,2518,72.2,116.2,0.357,0.43,0.592,52.5,46.9,6.8,5.9,0.556,12.2,25,0.272,2018,1355
south dakota,34,26,8,0.765,7.03,-2.47,2755,2314,71.9,112.8,0.344,0.315,0.573,52.7,45.7,9.6,5.1,0.537,13.6,29.8,0.259,2018,1377
south florida,32,10,22,0.313,-7,0.31,2026,2260,65.5,96.3,0.331,0.339,0.518,49.3,53.6,7.8,6.6,0.479,18.7,28.8,0.24,2018,1378
southeast missouri state,31,14,17,0.452,-7.91,-4.66,2355,2413,69.1,109.1,0.376,0.427,0.578,48.5,53.1,8.2,4.9,0.544,16,26.4,0.274,2018,1369
southeastern louisiana,34,22,12,0.647,-6.2,-6.01,2439,2357,69.1,103.9,0.362,0.373,0.544,49.2,57.4,9.6,7.5,0.519,17.3,30.5,0.238,2018,1368
southern california,35,24,11,0.686,13.3,6.53,2689,2452,68.7,110.3,0.298,0.361,0.558,50.8,55.3,9.1,11.6,0.538,13.5,30,0.213,2018,1425
siu edwardsville,30,9,21,0.3,-12.2,-3.13,2090,2362,70.4,99,0.33,0.372,0.514,48.8,50.8,6.8,7.6,0.478,16.7,29.3,0.233,2018,1188
southern illinois,33,20,13,0.606,1.43,0.71,2308,2280,66.9,103,0.328,0.332,0.549,48.9,55.3,11,10.6,0.521,16.7,25.9,0.228,2018,1356
southern methodist,33,17,16,0.515,9.41,3.99,2293,2114,64.4,107.8,0.305,0.404,0.546,50.3,58.2,11.5,9.9,0.52,15.4,32.7,0.209,2018,1374
southern mississippi,34,16,18,0.471,-4.43,1.13,2401,2449,67.8,103.8,0.293,0.383,0.538,46,57.3,10.2,5.8,0.51,13,21.8,0.206,2018,1379
southern utah,32,13,19,0.406,-7.36,-0.6,2416,2583,73.2,102.4,0.37,0.374,0.544,48.5,45.4,7,8,0.504,15.5,23.5,0.273,2018,1381
southern,33,15,18,0.455,-14.39,-9.43,2279,2369,69.8,98.1,0.41,0.271,0.493,51.6,47.4,8.1,9.9,0.449,15.8,33.4,0.279,2018,1380
st. bonaventure,33,26,7,0.788,9.28,2.37,2558,2330,69.2,110.4,0.398,0.336,0.563,50.4,53.3,10,10.9,0.52,14.1,29.6,0.299,2018,1382
st. francis (ny),31,13,18,0.419,-11.94,-7.01,2260,2357,70.9,101.2,0.313,0.415,0.521,47,45.5,10.1,7,0.487,15.2,27.2,0.223,2018,1383
st. john's (ny),33,16,17,0.485,10.4,10.81,2412,2397,71.1,100.9,0.301,0.353,0.528,45.9,48.7,11.8,15.6,0.492,14.7,23.7,0.223,2018,1385
stanford,33,18,15,0.545,8.48,7.39,2504,2468,71.9,104.8,0.418,0.317,0.557,53.7,51.1,7.2,8.8,0.523,17.9,32.2,0.287,2018,1390
stephen f. austin,34,28,6,0.824,2.64,-7.12,2759,2316,73.9,109.8,0.393,0.317,0.578,53,49.9,13.8,9.7,0.547,18.1,34.1,0.277,2018,1372
stetson,32,12,20,0.375,-12.24,-6.31,2412,2496,73.1,102.3,0.252,0.354,0.525,47.5,51.9,9.7,7.4,0.503,13.2,24.1,0.17,2018,1391
stony brook,32,13,19,0.406,-5.14,-2.34,2205,2249,69.6,98.2,0.325,0.406,0.512,50.2,54.8,11.6,8.4,0.484,17.2,30.3,0.213,2018,1392
syracuse,33,20,13,0.606,12.17,9.17,2229,2130,64.6,103,0.402,0.335,0.521,53.2,48.2,11,17.8,0.472,16.2,35.1,0.297,2018,1393
temple,32,17,15,0.531,7.49,7.86,2251,2263,67.5,103.4,0.256,0.391,0.52,47.1,49.7,9.8,8.8,0.494,13.8,27.7,0.177,2018,1396
tennessee-martin,31,10,21,0.323,-10.31,-4.76,2135,2253,68.5,99.3,0.236,0.36,0.532,49.5,48.3,10,11.3,0.506,18.3,28.9,0.171,2018,1404
tennessee state,30,15,15,0.5,-5.09,-2.73,1997,2010,67,97.8,0.375,0.422,0.538,49.7,48.7,10.4,10.4,0.496,19.2,26.3,0.277,2018,1398
tennessee tech,33,19,14,0.576,-5.59,-3.3,2413,2388,72.2,100.8,0.369,0.362,0.534,49.3,55.8,10.5,9.1,0.502,17.2,27.9,0.251,2018,1399
tennessee,33,25,8,0.758,18.63,10.81,2449,2191,67.3,109.4,0.365,0.356,0.55,51.3,62.7,9.3,12.8,0.507,15.3,33.5,0.276,2018,1397
texas a&m-corpus christi,29,11,18,0.379,-12.11,-6.38,1963,2057,69.9,96,0.379,0.275,0.523,50.8,46.7,9.6,9.3,0.482,19.7,29.8,0.272,2018,1394
texas a&m,32,20,12,0.625,15.71,10.52,2400,2234,70.7,106.1,0.32,0.332,0.536,53.9,55.8,8,15.2,0.511,16.2,34.4,0.214,2018,1401
texas-arlington,34,21,13,0.618,2.44,-1.2,2640,2500,74.1,104.5,0.347,0.398,0.552,52.2,58.8,9.1,12.4,0.523,17.5,30.4,0.24,2018,1426
texas christian,32,21,11,0.656,17.05,9.99,2656,2430,70.3,115.8,0.341,0.352,0.594,54.7,62.6,9.2,9.4,0.569,15.4,34.3,0.242,2018,1395
texas-el paso,31,11,20,0.355,-5.43,-0.33,2094,2197,69.5,97.2,0.312,0.384,0.525,46.6,43.5,6,8.7,0.499,16,19.6,0.209,2018,1431
texas-rio grande valley,32,15,17,0.469,-7.28,-2.34,2416,2507,75.9,98.7,0.408,0.322,0.505,48.1,59.7,10,8.5,0.452,15.3,28.2,0.301,2018,1410
texas-san antonio,33,19,14,0.576,-1.16,-0.83,2595,2483,74.1,105.8,0.291,0.439,0.54,51.4,50.3,8.5,7.5,0.515,14.8,28.2,0.199,2018,1427
texas southern,34,15,19,0.441,-7.92,-5.83,2640,2711,72.5,106.2,0.432,0.368,0.551,48.7,47.5,7.6,9.1,0.508,15.1,28.5,0.311,2018,1411
texas state,33,15,18,0.455,-5.55,-3.17,2190,2172,65.4,100.7,0.365,0.364,0.524,52.4,58,8.2,8.5,0.494,17.4,32.5,0.241,2018,1402
texas tech,33,24,9,0.727,19.56,9.02,2483,2135,68.3,109.3,0.403,0.341,0.561,53,51.8,10.8,12.3,0.527,15.7,33.3,0.282,2018,1403
texas,33,19,14,0.576,14.45,10.93,2367,2251,66.9,103.6,0.332,0.382,0.526,49.9,44.8,9,12.7,0.498,14.8,29.5,0.222,2018,1400
toledo,34,23,11,0.676,2.73,-1.67,2687,2532,69.9,113,0.371,0.417,0.585,51.2,57.8,5.3,9.3,0.551,14.7,27.7,0.273,2018,1405
towson,32,18,14,0.563,-0.15,-3.15,2446,2279,68.7,109.5,0.35,0.306,0.55,53.8,42.9,9.4,12.7,0.522,15.4,35.1,0.24,2018,1406
troy,33,16,17,0.485,-1.29,-1.9,2475,2408,69.9,106.5,0.343,0.449,0.551,49.8,51.3,7.1,10,0.515,15.4,27.3,0.252,2018,1407
tulane,31,14,17,0.452,1.51,2.38,2269,2296,69.7,104.1,0.345,0.373,0.548,49,60.4,7.1,10.5,0.515,16.5,27.3,0.246,2018,1408
tulsa,31,19,12,0.613,5.31,2.73,2277,2197,68.1,106.6,0.416,0.411,0.549,52,51.9,6.6,6.4,0.507,16.1,32,0.302,2018,1409
ucla,33,21,12,0.636,12.45,7.24,2679,2507,71.5,111.1,0.355,0.404,0.569,51.8,53.4,7.6,10.3,0.537,14.5,28.3,0.256,2018,1417
utah state,34,17,17,0.5,2.58,2.91,2489,2466,68.8,106,0.329,0.457,0.565,49.8,54.7,7.2,5.6,0.538,16.7,25.6,0.232,2018,1429
utah valley,33,23,10,0.697,5.8,-1.43,2584,2232,70.2,111.1,0.384,0.363,0.588,54.8,60.1,8.6,10.4,0.553,17.5,32.4,0.285,2018,1430
utah,30,19,11,0.633,10.9,6.14,2205,2062,67.8,108,0.349,0.456,0.577,49.1,61.9,7.7,9.9,0.54,15.9,24,0.265,2018,1428
valparaiso,32,15,17,0.469,0.69,0.99,2252,2182,69.8,100.8,0.387,0.358,0.546,50.9,51.1,10.5,9.3,0.51,18.5,27.7,0.274,2018,1434
vanderbilt,32,12,20,0.375,8.95,10.58,2316,2368,66.5,108,0.362,0.461,0.557,50.3,50.6,7.2,8.7,0.518,15.4,28.7,0.269,2018,1435
vermont,35,27,8,0.771,4.75,-3.31,2587,2277,65.3,113.2,0.418,0.36,0.598,53.5,53.1,5.9,7.4,0.559,15.2,26.3,0.315,2018,1436
villanova,34,30,4,0.882,25.67,9.5,2960,2410,70.2,122.7,0.286,0.466,0.623,52.1,53.7,9.4,10.2,0.597,12.9,28.9,0.221,2018,1437
virginia commonwealth,33,18,15,0.545,3.77,2.65,2507,2470,71.4,105.2,0.281,0.386,0.549,51,55.4,8.8,7.4,0.526,16.3,29,0.194,2018,1433
vmi,30,9,21,0.3,-15.17,-4,1954,2214,70.5,92.4,0.276,0.407,0.5,47.4,51.6,10.5,8.7,0.463,18.4,25.4,0.204,2018,1440
virginia tech,32,21,11,0.656,14.82,6.85,2551,2296,69.9,112.7,0.365,0.401,0.6,48.9,58.6,8.1,6.7,0.575,15.2,23.5,0.259,2018,1439
virginia,33,31,2,0.939,23.78,9.63,2229,1762,60.5,111.2,0.248,0.348,0.558,51.5,54.9,11.2,12.5,0.529,12.4,27.3,0.188,2018,1438
wagner,33,23,10,0.697,-2.9,-6.61,2448,2256,69.6,106.2,0.359,0.392,0.533,53.7,52.6,9.5,11.5,0.496,16.4,36.3,0.255,2018,1447
wake forest,31,11,20,0.355,7.96,8.99,2273,2305,69.9,104.9,0.319,0.353,0.54,51,53.9,8.4,10.4,0.505,16.2,30.5,0.235,2018,1448
washington state,31,12,19,0.387,0.98,5.53,2270,2411,69.4,104.7,0.247,0.504,0.566,47.2,56.2,7.5,6.2,0.541,17.3,24.6,0.182,2018,1450
washington,32,20,12,0.625,7.78,6.06,2377,2322,70.6,104,0.371,0.338,0.547,48.5,44.1,11.2,13.4,0.513,16.5,29.1,0.261,2018,1449
weber state,31,20,11,0.645,0.21,-2.68,2434,2195,70,110.8,0.349,0.391,0.606,49.3,50.8,7.3,9.6,0.572,15.5,19.1,0.268,2018,1451
west virginia,34,24,10,0.706,20.17,9.55,2707,2346,70.3,112.8,0.312,0.389,0.542,52.4,54.2,11.4,16,0.503,13.4,36.6,0.239,2018,1452
western carolina,32,13,19,0.406,-11.64,-1.38,2190,2419,71,96.3,0.317,0.373,0.505,48,55.2,11.2,8.9,0.473,18,30.5,0.216,2018,1441
western illinois,28,12,16,0.429,-10.8,-2,2012,2009,69.9,101.5,0.284,0.328,0.552,50,41.1,6.9,10.5,0.525,16.1,21,0.203,2018,1442
western kentucky,35,25,10,0.714,10.65,2.77,2744,2446,69.9,111.8,0.404,0.271,0.576,51.6,48,10.4,9.6,0.543,14.8,29.5,0.287,2018,1443
western michigan,32,17,15,0.531,-2.06,-1.83,2402,2349,69.4,107.8,0.342,0.352,0.536,50.7,47.9,9.4,9.8,0.499,13.3,30.5,0.249,2018,1444
wichita state,32,25,7,0.781,17.51,5.85,2656,2283,69.9,117.8,0.351,0.39,0.585,57,63.8,6.7,11.4,0.553,14,35.4,0.259,2018,1455
william & mary,31,19,12,0.613,-1.29,-1.25,2636,2531,71.4,117.6,0.332,0.436,0.639,50.4,60.2,7.8,10.5,0.605,15.6,22.4,0.269,2018,1456
winthrop,31,19,12,0.613,-1.44,-5.65,2464,2219,72.4,109.8,0.346,0.439,0.588,51.2,53,9.4,12.4,0.559,17,27,0.25,2018,1457
wisconsin,33,15,18,0.455,10.69,9.82,2206,2177,63.4,104.9,0.327,0.364,0.539,49.7,51.8,8.6,9.7,0.509,14.7,28.4,0.228,2018,1458
wofford,33,21,12,0.636,-0.53,-2.19,2484,2307,67.7,111.2,0.283,0.453,0.594,50.3,57.3,9.7,8.4,0.563,16.2,25.2,0.221,2018,1459
wright state,34,25,9,0.735,0.76,-4.4,2453,2234,70,102.3,0.364,0.348,0.534,52.1,52.8,9.4,6.5,0.495,16.3,29.1,0.261,2018,1460
wyoming,33,20,13,0.606,4.53,3.81,2633,2597,74.7,103.3,0.403,0.45,0.564,47.1,59.3,8.4,9.8,0.523,16.1,19.2,0.298,2018,1461
xavier,33,28,5,0.848,19.6,9.82,2781,2458,72.1,115.6,0.402,0.36,0.601,55.1,57.6,8,8,0.557,15.1,30,0.318,2018,1462
yale,31,16,15,0.516,-4.07,-2.7,2312,2288,70.2,105.5,0.307,0.424,0.562,49.8,61,9.3,8.2,0.533,16.5,26,0.222,2018,1463
youngstown state,32,8,24,0.25,-13.7,-2.6,2410,2647,74.2,100.7,0.276,0.337,0.505,50.8,49.3,11.1,10.4,0.483,16.2,35.6,0.176,2018,1464
abilene christian,31,25,6,0.806,-1.33,-7.92,2312,1956,67.2,110,0.337,0.346,0.569,50.9,58.9,12.7,8.1,0.54,15.5,29.7,0.241,2019,1101
air force,31,14,17,0.452,-3.38,0.42,2129,2218,67.4,100.2,0.284,0.396,0.543,50.2,53.8,7.1,5.5,0.52,17.1,23.9,0.193,2019,1102
akron,32,17,15,0.531,6.16,1.06,2225,2025,68.3,101.5,0.276,0.48,0.521,48.6,50.4,8.4,9,0.492,15,25.9,0.194,2019,1103
alabama a&m,32,5,27,0.156,-19.1,-8.25,1938,2285,67.5,88.7,0.251,0.319,0.479,47,52.2,10.7,4.6,0.458,19.4,27.6,0.157,2019,1105
alabama-birmingham,32,19,13,0.594,0.58,-1.42,2248,2150,66.5,104.8,0.306,0.347,0.537,52.6,45,9.5,7.4,0.512,14.9,30.1,0.206,2019,1412
alabama state,30,12,18,0.4,-15.36,-7.82,2020,2155,69.4,96.2,0.388,0.382,0.502,49,43.6,9.3,9.6,0.466,17.8,30.8,0.255,2019,1106
alabama,31,17,14,0.548,10.37,9.44,2252,2223,70.1,103.6,0.389,0.371,0.54,52.1,48.5,6.4,11.9,0.509,16.8,31.1,0.26,2019,1104
albany (ny),32,12,20,0.375,-9,-6.32,2150,2216,66.7,99.2,0.322,0.451,0.533,49.8,55.2,9,7.1,0.494,18.4,27.1,0.24,2019,1107
